spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
7so0lgd0zP2Sbgs2d7a1SZ,Die With A Smile,"Lady Gaga, Bruno Mars",1,0,0,,2025-04-12,89,False,251667,MAYHEM,2025-03-07,0.519,0.601,6,-7.727,0,0.0317,0.289,0.0,0.126,0.498,157.964,3
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,2,0,0,,2025-04-12,99,False,210373,HIT ME HARD AND SOFT,2024-05-17,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
2RkZ5LkEzeHGRsmDqKwmaJ,Ordinary,Alex Warren,3,0,0,,2025-04-12,85,False,186964,"You'll Be Alright, Kid (Chapter 1)",2024-09-26,0.368,0.694,2,-6.141,1,0.06,0.704,6.59e-06,0.055,0.391,168.115,3
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",4,0,0,,2025-04-12,92,False,169917,rosie,2024-12-06,0.777,0.783,0,-4.477,0,0.26,0.0283,0.0,0.355,0.939,149.027,4
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA",5,0,0,,2025-04-12,94,False,177598,GNX,2024-11-21,0.707,0.575,2,-7.546,1,0.125,0.251,0.0,0.248,0.576,138.008,4
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,6,0,1,,2025-04-12,97,True,166300,The Secret of Us (Deluxe),2024-10-18,0.554,0.808,1,-4.169,1,0.0368,0.214,0.0,0.159,0.372,108.548,4
6iOndD4OFo7GkaDypWQIou,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",7,1,5,,2025-04-12,91,True,150001,La Plena (W Sound 05),2025-02-19,0.894,0.643,5,-3.485,1,0.132,0.543,0.000984,0.101,0.659,99.039,4
3sK8wGT43QFpWrvNQsrQya,DtMF,Bad Bunny,8,1,0,,2025-04-12,98,True,237117,DeBÍ TiRAR MáS FOToS,2025-01-05,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
3LPLRNr58Z9Pn0clnEtkXb,Anxiety,Doechii,9,1,-3,,2025-04-12,87,True,249302,Alligator Bites Never Heal (Extended),2025-03-14,0.807,0.596,0,-6.818,1,0.0394,0.321,0.000294,0.105,0.881,129.013,4
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,10,-3,-1,,2025-04-12,96,False,211978,Sailor Song,2024-07-26,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72e-05,0.193,0.273,94.938,4
0fK7ie6XwGxQTIkpFoWkd1,like JENNIE,JENNIE,11,0,0,,2025-04-12,95,True,123517,Ruby,2025-03-07,0.811,0.743,10,-5.321,0,0.0611,0.281,0.00671,0.0868,0.815,130.019,4
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,12,1,10,,2025-04-12,90,True,175459,Short n' Sweet,2024-08-23,0.699,0.776,0,-5.282,1,0.0293,0.131,5.36e-06,0.205,0.708,103.963,4
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,13,2,2,,2025-04-12,90,True,284066,This Wasn't Meant For You Anyway,2024-06-21,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4
78HEzDEs1QUnHB2DbxgC1s,Te Quería Ver,"Alemán, Neton Vega",14,2,4,,2025-04-12,94,False,176129,Te Quería Ver,2025-01-31,0.802,0.761,4,-5.182,0,0.0681,0.188,1.69e-05,0.0922,0.448,100.019,4
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,15,-1,1,,2025-04-12,92,False,180304,Fireworks & Rollerblades,2024-04-05,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3
6CYldrsUPBsiPtfLW4xZCl,"Henry, come on",Lana Del Rey,16,34,34,,2025-04-12,53,False,311269,"Henry, come on",2025-04-11,0.355,0.327,4,-11.395,1,0.0341,0.821,0.0862,0.112,0.128,102.088,4
2lTm559tuIvatlT1u0JYG2,BAILE INoLVIDABLE,Bad Bunny,17,0,-3,,2025-04-12,97,True,367725,DeBÍ TiRAR MáS FOToS,2025-01-05,0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,18,-6,-5,,2025-04-12,96,False,261466,HIT ME HARD AND SOFT,2024-05-17,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
2u9S9JJ6hTZS3Vf22HOZKg,NOKIA,Drake,19,0,1,,2025-04-12,94,True,241023,$ome $exy $ongs 4 U,2025-02-14,0.537,0.727,5,-4.184,1,0.15,0.247,0.0,0.173,0.508,106.037,4
0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",20,-2,-1,,2025-04-12,94,True,256000,Hurry Up Tomorrow,2025-01-31,0.768,0.775,11,-5.06,0,0.0466,0.069,2.96e-06,0.138,0.6,119.999,4
5UJbgR4XF4y1DvbkxEqe8S,Sports car,Tate McRae,21,0,-4,,2025-04-12,87,False,165045,So Close To What,2025-02-20,0.861,0.815,11,-3.672,0,0.0349,0.0505,0.00139,0.1,0.886,106.978,4
5ITV0zqzjOYfFWpW0xBmRa,Show Me Love,"WizTheMc, bees & honey",22,1,9,,2025-04-12,92,False,176965,Show Me Love,2025-02-07,0.714,0.691,1,-7.333,1,0.0434,0.0212,0.000292,0.111,0.155,107.15,4
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,23,-3,0,,2025-04-12,90,False,170887,MUSE,2024-07-19,0.66,0.756,0,-3.743,0,0.032,0.00289,0.0,0.193,0.838,116.034,4
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,24,-2,-3,,2025-04-12,96,True,274192,Not Like Us,2024-05-04,0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,4
